fn_id,auto_bucket,my_tag,notes
1,"poor localization (0,0.30)",,
2,contested (pred used by neighbor),,
3,contested (pred used by neighbor),,
4,"poor localization (0,0.30)",,
5,"poor localization (0,0.30)",,
6,"poor localization (0,0.30)",,
7,"poor localization (0,0.30)",,
8,"poor localization (0,0.30)",,
9,"poor localization (0,0.30)",,
10,contested (pred used by neighbor),,
11,"poor localization (0,0.30)",,
12,"poor localization (0,0.30)",,
13,"poor localization (0,0.30)",,
14,"poor localization (0,0.30)",,
15,"poor localization (0,0.30)",,
16,"poor localization (0,0.30)",,
17,"poor localization (0,0.30)",,
18,"poor localization (0,0.30)",,
19,"poor localization (0,0.30)",,
20,contested (pred used by neighbor),,
21,"near-miss / localization [0.30,0.40)",,
22,"near-miss / localization [0.30,0.40)",,
23,"poor localization (0,0.30)",,
24,"poor localization (0,0.30)",,
25,"poor localization (0,0.30)",,
26,"poor localization (0,0.30)",,
27,"poor localization (0,0.30)",,
28,true miss (not detected),,
29,"poor localization (0,0.30)",,
30,"poor localization (0,0.30)",,
31,"poor localization (0,0.30)",,
32,"poor localization (0,0.30)",,
33,"near-miss / localization [0.30,0.40)",,
34,"poor localization (0,0.30)",,
35,"near-miss / localization [0.30,0.40)",,
36,"poor localization (0,0.30)",,
37,"near-miss / localization [0.30,0.40)",,
38,"poor localization (0,0.30)",,
39,"near-miss / localization [0.30,0.40)",,
40,"poor localization (0,0.30)",,
41,contested (pred used by neighbor),,
42,"near-miss / localization [0.30,0.40)",,
43,true miss (not detected),,
44,"poor localization (0,0.30)",,
45,"near-miss / localization [0.30,0.40)",,
46,contested (pred used by neighbor),,
47,"near-miss / localization [0.30,0.40)",,
48,true miss (not detected),,
49,"poor localization (0,0.30)",,
50,"poor localization (0,0.30)",,
51,"poor localization (0,0.30)",,
52,"near-miss / localization [0.30,0.40)",,
53,"near-miss / localization [0.30,0.40)",,
54,"poor localization (0,0.30)",,
55,"poor localization (0,0.30)",,
56,"poor localization (0,0.30)",,
57,"poor localization (0,0.30)",,
58,"poor localization (0,0.30)",,
59,"poor localization (0,0.30)",,
60,contested (pred used by neighbor),,
61,"poor localization (0,0.30)",,
62,"poor localization (0,0.30)",,
63,"poor localization (0,0.30)",,
64,contested (pred used by neighbor),,
65,"poor localization (0,0.30)",,
66,"poor localization (0,0.30)",,
67,"poor localization (0,0.30)",,
68,contested (pred used by neighbor),,
69,"poor localization (0,0.30)",,
70,"poor localization (0,0.30)",,
71,"poor localization (0,0.30)",,
72,contested (pred used by neighbor),,
73,"poor localization (0,0.30)",,
74,contested (pred used by neighbor),,
75,"poor localization (0,0.30)",,
76,"near-miss / localization [0.30,0.40)",,
77,"poor localization (0,0.30)",,
78,"poor localization (0,0.30)",,
79,"near-miss / localization [0.30,0.40)",,
80,true miss (not detected),,
81,"poor localization (0,0.30)",,
82,"poor localization (0,0.30)",,
83,"poor localization (0,0.30)",,
84,contested (pred used by neighbor),,
85,"poor localization (0,0.30)",,
86,"near-miss / localization [0.30,0.40)",,
87,"poor localization (0,0.30)",,
88,"poor localization (0,0.30)",,
89,"poor localization (0,0.30)",,
90,"poor localization (0,0.30)",,
91,"near-miss / localization [0.30,0.40)",,
92,"poor localization (0,0.30)",,
93,"poor localization (0,0.30)",,
94,"poor localization (0,0.30)",,
95,"poor localization (0,0.30)",,
96,"near-miss / localization [0.30,0.40)",,
97,"poor localization (0,0.30)",,
98,"near-miss / localization [0.30,0.40)",,
99,"poor localization (0,0.30)",,
100,"poor localization (0,0.30)",,
