fp_id,pred_idx,score,cx,cy,best_iou,nearest_dist,nearest_inv_idx,nearest_unmatched,bucket
1,5,0.825,572503.9,2844662.72,0.0,9.34,1089,False,gap
2,13,0.802,572591.95,2844787.77,0.0,25.44,1223,False,gap
3,23,0.789,572536.15,2844696.92,0.244,3.16,1070,True,localization
4,41,0.772,572789.05,2845297.12,0.0,54.76,600,True,gap
5,68,0.745,572557.98,2845087.17,0.046,6.37,1158,False,localization
7,106,0.717,573034.4,2845091.54,0.0,67.59,2098,True,gap
8,118,0.71,572767.45,2845280.42,0.0,28.85,584,True,gap
9,146,0.698,572624.9,2845310.72,0.0,9.56,1806,True,gap
10,206,0.67,572790.38,2845258.87,0.0,22.54,608,False,gap
11,210,0.668,572644.98,2844876.04,0.0,14.8,811,False,gap
12,222,0.664,572912.78,2845258.74,0.0,90.47,14,True,gap
13,240,0.657,572520.28,2845349.64,0.004,8.09,344,True,localization
14,243,0.656,572602.68,2844868.92,0.0,19.39,788,True,gap
15,331,0.618,572576.0,2844805.29,0.057,6.66,1223,False,localization
16,371,0.608,572690.93,2845364.09,0.014,7.53,510,True,localization
17,445,0.585,573048.38,2844774.82,0.0,45.97,2154,True,gap
18,454,0.583,572507.8,2844644.92,0.0,19.65,1088,False,gap
20,635,0.536,572641.65,2845233.74,0.0,8.3,1820,True,gap
21,645,0.533,572725.65,2844811.22,0.0,8.05,1376,True,gap
22,647,0.532,572760.9,2845344.84,0.0,66.23,547,False,gap
23,671,0.527,572585.68,2845365.89,0.0,16.44,1481,False,gap
24,728,0.516,573015.8,2845029.14,0.0,33.06,2105,False,gap
25,731,0.515,572799.53,2845136.44,0.0,8.08,670,False,gap
26,771,0.507,572702.55,2845167.52,0.33,2.96,660,True,localization
27,803,0.499,572857.7,2844884.32,0.309,3.47,76,True,localization
28,817,0.497,572711.2,2845139.97,0.284,1.32,1957,True,localization
29,838,0.492,572961.48,2844700.64,0.0,39.29,1281,True,gap
30,875,0.485,572723.1,2844673.99,0.347,2.94,764,True,localization
31,910,0.477,572905.15,2845196.54,0.0,33.28,9,True,gap
32,911,0.477,573076.65,2844977.27,0.0,65.14,2124,False,gap
33,915,0.475,573007.5,2844855.44,0.33,1.85,2165,True,localization
34,921,0.474,573039.53,2844920.84,0.322,3.23,2126,True,localization
35,925,0.474,572702.43,2844699.04,0.165,4.66,768,True,localization
36,930,0.473,572984.88,2844720.67,0.0,39.14,1285,False,gap
37,948,0.468,572685.3,2845042.42,0.0,8.7,1687,False,gap
39,984,0.462,572737.8,2845377.84,0.0,54.62,510,True,gap
40,1001,0.458,572765.83,2844810.22,0.164,4.45,2077,True,localization
41,1072,0.449,572682.63,2845100.24,0.201,4.21,1661,True,localization
42,1105,0.443,572904.35,2845103.94,0.202,4.65,2200,True,localization
43,1133,0.44,572720.15,2844956.32,0.0,12.0,423,False,gap
44,1138,0.439,572485.83,2844714.79,0.0,9.23,1084,False,gap
45,1194,0.432,572728.53,2844640.44,0.0,11.42,1110,False,gap
46,1209,0.43,572496.08,2844874.49,0.336,3.25,1444,True,localization
47,1221,0.428,572679.55,2844927.27,0.355,1.68,419,True,localization
48,1225,0.427,572551.33,2844673.14,0.0,13.4,1090,True,gap
