fp_id,best_iou,my_tag,notes
1,0.0,real_tree,
2,0.0,real_tree,
3,0.244,real_tree,
4,0.0,real_tree,
5,0.046,real_tree,
6,0.0,unsure,
7,0.0,real_tree,multiple in one
8,0.0,real_tree,
9,0.0,real_tree,
10,0.0,real_tree,
11,0.0,real_tree,
12,0.0,real_tree,multiple in one
13,0.004,real_tree,
14,0.0,real_tree,
15,0.057,real_tree,
16,0.014,real_tree,
17,0.0,real_tree,
18,0.0,real_tree,
19,0.2,unsure,
20,0.0,real_tree,multiple in one
21,0.0,real_tree,
22,0.0,real_tree,multiple in one
23,0.0,real_tree,
24,0.0,real_tree,
25,0.0,real_tree,multiple in one
26,0.33,real_tree,multiple in one
27,0.309,real_tree,multiple in one
28,0.284,real_tree,
29,0.0,real_tree,
30,0.347,real_tree,multiple in one
31,0.0,real_tree,two overlapping
32,0.0,real_tree,
33,0.33,real_tree,
34,0.322,real_tree,
35,0.165,real_tree,
36,0.0,real_tree,
37,0.0,real_tree,multiple in one
38,0.0,unsure,
39,0.0,real_tree,
40,0.164,real_tree,
41,0.201,real_tree,many in one
42,0.202,real_tree,
43,0.0,real_tree,multiple in one
44,0.0,real_tree,multiple in one
45,0.0,real_tree,multiple in one
46,0.336,real_tree,
47,0.355,real_tree,
48,0.0,real_tree,
49,0.0,real_tree,
50,0.295,real_tree,multiple in one
51,0.198,real_tree,not all of the tree
52,0.032,real_tree,
53,0.044,real_tree,
54,0.225,real_tree,overlapping trees
55,0.253,real_tree,overlapping trees
56,0.144,real_tree,
57,0.094,real_tree,two overlapping
58,0.034,real_tree,overlapping trees
59,0.0,real_tree,
60,0.0,real_tree,
61,0.0,real_tree,
62,0.152,real_tree,many overlapping
63,0.0,error,shadow of a tree
64,0.0,real_tree,
65,0.0,error,shadow of a tree
66,0.0,real_tree,
67,0.253,real_tree,overlapping trees
68,0.284,real_tree,overlapping trees
69,0.158,real_tree,
70,0.0,real_tree,a bit of another tree in the box
71,0.0,real_tree,
72,0.049,real_tree,
73,0.0,real_tree,multiple in one
74,0.354,real_tree,overlapping trees
75,0.337,real_tree,overlapping trees
76,0.353,real_tree,overlapping trees
77,0.105,real_tree,overlapping trees
78,0.023,real_tree,overlapping trees
79,0.138,real_tree,overlapping trees
80,0.339,real_tree,
81,0.0,real_tree,
82,0.0,error,bush
83,0.0,real_tree,multiple in one
84,0.166,real_tree,many in one
85,0.373,real_tree,
86,0.239,real_tree,
87,0.19,real_tree,many in one
88,0.381,real_tree,many in one
89,0.0,real_tree,many overlapping
90,0.249,real_tree,
91,0.0,real_tree,did not get all of the tree
92,0.216,real_tree,overlapping trees
93,0.176,real_tree,overlapping trees
94,0.175,real_tree,overlapping trees
95,0.149,real_tree,overlapping trees
96,0.186,real_tree,
97,0.311,real_tree,overlapping trees
98,0.297,real_tree,
99,0.0,real_tree,
100,0.0,real_tree,
