epoch,train_loss,val_f1,val_precision,val_recall,val_best_conf,lr,seconds
0,2.834186,0.3933,0.2844,0.6373,0.0655,0.001,74.3
1,2.773152,0.4248,0.3391,0.5686,0.06498,0.001,73.8
2,2.752513,0.4024,0.3028,0.5998,0.05742,0.001,77.8
3,2.741069,0.3613,0.2774,0.5179,0.06483,0.001,75.5
4,2.718292,0.4308,0.3757,0.5047,0.0823,0.001,76.6
5,2.708464,0.3982,0.3196,0.5281,0.07891,0.001,74.1
6,2.699717,0.3749,0.2987,0.5031,0.07222,0.001,73.7
7,2.689994,0.4001,0.3192,0.5359,0.07453,0.001,73.8
8,2.671579,0.4132,0.3469,0.5109,0.08776,0.0005,73.7
9,2.653581,0.4202,0.3447,0.5382,0.07924,0.0005,77.8
10,2.640027,0.4374,0.3601,0.5569,0.08184,0.0005,75.3
11,2.638649,0.4074,0.3394,0.5094,0.08227,0.0005,73.4
12,2.638918,0.4103,0.3274,0.5491,0.07955,0.0005,73.4
13,2.621434,0.4146,0.327,0.5663,0.07973,0.0005,73.5
14,2.613159,0.4355,0.3632,0.5437,0.08802,0.00025,77.8
15,2.576758,0.4427,0.4082,0.4836,0.0928,0.00025,74.4
16,2.560654,0.4337,0.3738,0.5164,0.08685,0.00025,173.6
17,2.548065,0.4544,0.4043,0.5187,0.10118,0.00025,13477.1
18,2.552369,0.429,0.3495,0.5554,0.07732,0.00025,530.2
19,2.532263,0.4397,0.4159,0.4665,0.09271,0.00025,73.5
20,2.530675,0.4483,0.3845,0.5374,0.09552,0.00025,76.0
21,2.525425,0.4028,0.3655,0.4485,0.07875,0.000125,75.2
22,2.492677,0.4404,0.3639,0.5577,0.08099,0.000125,75.8
23,2.478333,0.4439,0.3837,0.5265,0.09188,0.000125,76.7
24,2.461578,0.4304,0.3824,0.4922,0.08564,0.000125,76.0
25,2.457145,0.4184,0.3532,0.5133,0.09606,6.25e-05,74.7
26,2.442009,0.4128,0.3703,0.4665,0.09767,6.25e-05,74.9
27,2.428883,0.4314,0.3929,0.4782,0.10661,6.25e-05,74.7
