config,method,threshold,patch_overlap,patch_size_m,resolution_cm,precision,recall,f1,predicted_count,tp
baseline_evaluate_pertile,evaluate,0.3,(per-tile),40.0,5.0,0.3997,0.3856,0.3925,,
baseline_predict_tile,predict_tile,0.3,0.1,40.0,5.0,0.3154,0.3085,0.3119,2162,682
A_thresh_0.05,predict_tile,0.05,0.1,40.0,5.0,0.2021,0.3532,0.2571,3865,781
A_thresh_0.10,predict_tile,0.1,0.1,40.0,5.0,0.2436,0.3519,0.2879,3194,778
A_thresh_0.15,predict_tile,0.15,0.1,40.0,5.0,0.2609,0.3492,0.2986,2959,772
A_thresh_0.20,predict_tile,0.2,0.1,40.0,5.0,0.2725,0.3397,0.3024,2756,751
A_thresh_0.30,predict_tile,0.3,0.1,40.0,5.0,0.3154,0.3085,0.3119,2162,682
B_overlap_0.10,predict_tile,0.3,0.1,40.0,5.0,0.3154,0.3085,0.3119,2162,682
B_overlap_0.25,predict_tile,0.3,0.25,40.0,5.0,0.3146,0.3284,0.3213,2308,726
B_overlap_0.40,predict_tile,0.3,0.4,40.0,5.0,0.2973,0.3297,0.3127,2452,729
B_patch_30m,predict_tile,0.3,0.1,30.0,5.0,0.2018,0.2483,0.2227,2720,549
C_resolution_7.5cm,predict_tile,0.3,0.1,40.0,7.5,0.3281,0.2284,0.2693,1539,505
C_resolution_10cm,predict_tile,0.3,0.1,40.0,10.0,0.326,0.1737,0.2266,1178,384
combined_best,predict_tile,0.3,0.25,40.0,7.5,0.307,0.232,0.2643,1671,513
