pt_id,src,tax_family,species,species_class,cx,cy,minx,miny,maxx,maxy
0,merged_fixed,Combretaceae,Terminalia buceras,other,572293.8235000003,2845381.7038000007,572290.3334500002,2845378.2137500006,572297.3135500004,2845385.193850001
1,nomatch_fixed,Apocynaceae,Tabernaemontana divaricata,other,572196.9164000002,2844928.5584000004,572193.4263500001,2844925.0683500003,572200.4064500004,2844932.0484500006
2,polygon,,,unknown,572449.7393000002,2844438.57,572447.1158999996,2844435.553,572452.8657,2844441.3012000006
3,nomatch_fixed,,,unknown,572447.0317000003,2844436.636,572443.5416500001,2844433.1459500003,572450.5217500004,2844440.1260500005
4,nomatch_fixed,Arecaceae,Dypsis triangularis,palm,571913.4563000003,2844323.7756000008,571909.9662500002,2844320.2855500006,571916.9463500004,2844327.265650001
5,nomatch_fixed,Arecaceae, Bismarckia nobilis,palm,572312.8336000002,2845357.2344000004,572309.3435500001,2845353.7443500003,572316.3236500004,2845360.7244500006
6,polygon,Arecaceae,Bismarckia nobilis,palm,572409.2288000003,2845356.9855000004,572408.1968,2845352.809699999,572414.3301,2845358.7269
7,merged_fixed,Arecaceae,Cocos nucifera,palm,572559.2501000003,2845346.669500001,572555.7600500002,2845343.1794500006,572562.7401500004,2845350.159550001
8,merged_fixed,Arecaceae,Syagrus romanzoffiana,palm,572395.2727000003,2845370.8161000004,572391.7826500002,2845367.3260500003,572398.7627500005,2845374.3061500005
9,nomatch_fixed,Arecaceae,Serenoa repens,palm,572647.6694000002,2845339.3366000005,572644.1793500001,2845335.8465500004,572651.1594500004,2845342.8266500006
10,nomatch_fixed,Arecaceae,Phoenix canariensis,palm,572552.1039000002,2845349.8162000007,572548.6138500001,2845346.3261500006,572555.5939500004,2845353.306250001
11,polygon,Arecaceae,Phoenix canariensis,palm,572563.2223000003,2845348.7951000007,572559.9875999996,2845346.6427999996,572565.2237,2845351.13
12,nomatch_fixed,Combretaceae,Terminalia buceras,other,572687.7183000003,2845179.5611000005,572684.2282500002,2845176.0710500004,572691.2083500004,2845183.0511500007
13,merged_fixed,Pandanaceae,Pandanus tectorius ,other,572628.1738000002,2845039.4666000004,572624.6837500001,2845035.9765500003,572631.6638500004,2845042.9566500005
14,merged_fixed,Boraginaceae,Cordia sebestena,other,572562.7134000002,2845344.7069000006,572559.2233500001,2845341.2168500004,572566.2034500004,2845348.1969500007
15,polygon,Fagaceae,Quercus virginiana,other,572516.7868000002,2844989.9065000005,572512.3926,2844987.1568,572516.9030999998,2844992.5325000007
16,merged_fixed,Arecaceae,Sabal palmetto,palm,572561.9056000003,2845334.8576000007,572558.4155500002,2845331.3675500005,572565.3956500004,2845338.347650001
